Model,Accuracy,Time
Random Forest,1.0,-0.18286490440368652
Decision Tree,1.0,0.0034410953521728516
SVM,1.0,0.0043544769287109375
Logistic Regression,1.0,0.03376007080078125
XGBoost,1.0,0.09566092491149902
Neural Network,1.0,39.94999051094055
